iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp
BMU,Bermuda,2004,4484703000.0,71692.16,62555.0,,22.223938109528696,,Bermuda,0,America,32.299999,-64.800003,English,GBR,,1.0,2004,11.180137,11.043801,0.066096306,0.06880188
BTN,Bhutan,2004,735348490.43,1130.36,650544.0,89.06,20.41585508144931,4.489310299893557,Bhutan,1,Asia,27.533333,89.75,Burmese,,Emerging and Developing Economies,0.0,2004,7.0302916,13.385564,0.10040283,0.12039948
BOL,Bolivia,2004,8773451751.51,953.19,9204287.0,57.46,22.894996152156864,4.051089053551143,Bolivia,1,America,-16.5,-68.166664,Spanish,ESP,Emerging and Developing Economies,0.0,2004,6.8598142,16.035179,0.065216541,0.082042694
BIH,Bosnia and Herzegovina,2004,10156541538.4,2452.69,4140987.0,81.81,23.041383821383818,4.404399485525607,Bosnia and Herzegovina,0,Europe,43.866665,18.433332,Serbo-Croatian,TUR,Emerging and Developing Economies,0.0,2004,7.8049407,15.236444,0.18720579,0.1781826
BWA,Botswana,2004,8957467706.54,4956.69,1807146.0,91.0,22.91575340195017,4.51085950651685,Botswana,1,Africa,-24.75,25.916666,English,GBR,Emerging and Developing Economies,0.0,2004,8.5084934,14.407259,0.15850735,0.17604256
BRA,Brazil,2004,669289424806.31,3663.82,182675143.0,29.68,27.229482426549144,3.39047341829918,Brazil,0,America,-15.78,-47.91,Portuguese,PRT,Emerging and Developing Economies,0.0,2004,8.2062616,19.02322,0.17013741,0.18143845
BRN,Brunei Darussalam,2004,8619178799.47,24423.09,352911.0,84.88,22.877255650201004,4.441238494305727,Brunei Darussalam,0,Asia,4.9333334,114.96667,Malay,GBR,Emerging and Developing Economies,0.0,2004,10.103284,12.773972,0.1664629,0.18440247
BGR,Bulgaria,2004,26157743368.87,3389.69,7716860.0,93.06,23.9874110971567,4.533244446416503,Bulgaria,0,Europe,42.666668,23.299999,Bulgarian,TUR,Emerging and Developing Economies,0.0,2004,8.1284933,15.858918,0.22029352,0.21274376
BFA,Burkina Faso,2004,5451688537.61,403.81,13500533.0,35.48,22.41919122105088,3.5689691574413787,Burkina Faso,1,Africa,12.333333,-1.6666666,French,FRA,Emerging and Developing Economies,0.0,2004,6.0009446,16.41824,0.10827875,0.13972664
BDI,Burundi,2004,915257323.4,125.19,7310656.0,31.58,20.634715811462243,3.452524008827496,Burundi,1,Africa,-3.3666666,29.316668,French,BEL,Emerging and Developing Economies,0.0,2004,4.8298326,15.804844,0.1166153,0.15396118
CPV,Cabo Verde,2004,924940011.84,1929.49,479370.0,101.57,20.64523944130885,4.6207482159514095,Cabo Verde,0,Africa,14.916667,-23.5,Portuguese,PRT,Emerging and Developing Economies,0.0,2004,7.565011,13.080228,0.11610651,0.12867737
KHM,Cambodia,2004,5883297159.87,444.2,13244731.0,131.35,22.49538318317468,4.877865516131549,Cambodia,0,Asia,11.583333,104.91666,Khmer,FRA,Emerging and Developing Economies,0.0,2004,6.0962749,16.399111,0.13865137,0.15338326
CMR,Cameroon,2004,18826214135.64,1133.39,16610487.0,41.84,23.65851610446973,3.733852819756668,Cameroon,0,Africa,3.8499999,11.516666,French,FRA,Emerging and Developing Economies,0.0,2004,7.0329685,16.625546,0.137043,0.16451836
CAN,Canada,2004,1026690238278.25,32145.54,31938807.0,70.19,27.65736138334429,4.2512058507423305,Canada,0,America,45.419998,-75.709999,English,GBR,Advanced Economies,1.0,2004,10.378029,17.279333,0.12734604,0.13666916
CAF,Central African Republic,2004,1272360517.32,303.46,4192826.0,33.24,20.96413968727294,3.5037539699872475,Central African Republic,1,Africa,4.3833332,18.616667,French,FRA,Emerging and Developing Economies,0.0,2004,5.71525,15.248885,0.086191177,0.1078167
TCD,Chad,2004,4422855660.83,445.85,9920036.0,101.77,22.21005140152891,4.62271536520384,Chad,1,Africa,12.166667,14.983334,French,FRA,Emerging and Developing Economies,0.0,2004,6.0999827,16.110067,0.43324471,0.47780037
CHL,Chile,2004,99075985773.67,6120.59,16187322.0,69.89,25.319152925745502,4.246922577489038,Chile,0,America,-33.5,-70.666664,Spanish,ESP,Emerging and Developing Economies,0.0,2004,8.7194138,16.599739,0.24860001,0.2586937
CHN,China,2004,1984196551300.44,1530.93,1296075000.0,58.64,28.31623518808009,4.071417057578396,China,0,Asia,39.916668,116.43333,Chinese,,Emerging and Developing Economies,0.0,2004,7.3336306,20.982607,0.15816402,0.16409874
COL,Colombia,2004,117092416666.24,2818.57,41543171.0,35.86,25.486229345984608,3.5796224681769866,Colombia,0,America,4.6333332,-75.066666,Spanish,ESP,Emerging and Developing Economies,0.0,2004,7.943985,17.542244,0.19814253,0.21282959
COM,Comoros,2004,633706110.8,1091.27,580704.0,35.76,20.267095857296013,3.576829950305313,Comoros,0,Africa,-11.666667,43.266666,Arabic,FRA,Emerging and Developing Economies,0.0,2004,6.9950976,13.271996,0.12838316,0.1473465
COG,"Congo, Rep.",2004,4656974940.13,1306.1,3565554.0,131.37,22.26163191981343,4.878017769481417,Republic of Congo,0,Africa,-4.2333331,15.233334,French,FRA,Emerging and Developing Economies,0.0,2004,7.1748009,15.08683,0.25036526,0.28453827
CRI,Costa Rica,2004,18610594846.21,4431.01,4200078.0,85.26,23.64699687088393,4.445705411337064,Costa Rica,0,America,9.9833336,-84.066666,Spanish,ESP,Emerging and Developing Economies,0.0,2004,8.3963823,15.250613,0.059955597,0.074659348
CIV,Cote d'Ivoire,2004,23510575681.37,1199.83,19595000.0,58.12,23.880716185858315,4.062509838702082,Côte d'Ivoire,0,Africa,5.3166666,-4.0166669,French,FRA,Emerging and Developing Economies,0.0,2004,7.0899353,16.790785,0.076766491,0.10101128
HRV,Croatia,2004,41836292157.33,9718.97,4304600.0,81.64,24.45703003320945,4.402319337941644,Croatia,0,Europe,45.799999,15.966666,Serbo-Croatian,AUT,Advanced Economies,1.0,2004,9.1818352,15.275195,0.17115211,0.17143059
CUB,Cuba,2004,38203000000.0,3399.22,11238756.0,31.31,24.36617988350672,3.443937535338314,Cuba,0,America,23.116667,-82.416664,Spanish,ESP,,0.0,2004,8.1313009,16.234879,0.059526443,0.062143326
CYP,Cyprus,2004,17320551250.0,23792.62,1017875.0,113.9,23.575159566941423,4.735320870453137,Cyprus,0,Europe,35.150002,33.349998,Greek,GBR,Advanced Economies,1.0,2004,10.07713,13.833228,0.16110897,0.17448616
CZE,Czechia,2004,120147899983.66,11782.55,10197101.0,113.17,25.511989320687835,4.72889111297785,Czech Republic,1,Europe,50.099998,14.433333,Czech,AUT,Advanced Economies,1.0,2004,9.3743753,16.137613,0.17889881,0.17920303
DNK,Denmark,2004,251986155630.85,46625.05,5404523.0,82.01,26.252639984975872,4.40684119104832,Denmark,0,Europe,55.666668,12.583333,Danish,,Advanced Economies,1.0,2004,10.749893,15.502747,0.14036465,0.14294815
DJI,Djibouti,2004,666072101.78,806.26,826124.0,,20.3169084835758,,Djibouti,0,Africa,11.6,43.150002,French,FRA,Emerging and Developing Economies,0.0,2004,6.6924062,13.6245,0.053014278,0.068386078
DMA,Dominica,2004,396711111.11,5778.83,68649.0,,19.798718893940315,,Dominica,0,America,15.3,-61.383335,English,GBR,Emerging and Developing Economies,0.0,2004,8.6619568,11.136762,0.059055328,0.060777664
DOM,Dominican Republic,2004,22322387382.49,2451.69,9104892.0,81.35,23.828855930320632,4.398760833665047,Dominican Republic,0,America,18.5,-69.783333,Spanish,FRA,Emerging and Developing Economies,0.0,2004,7.804533,16.024323,0.028308392,0.042051315
ECU,Ecuador,2004,35194947000.0,2586.21,13608701.0,56.07,24.28416835810965,4.026600910135581,Ecuador,0,America,-0.23333333,-78.5,Spanish,ESP,Emerging and Developing Economies,0.0,2004,7.8579488,16.42622,0.11051607,0.12803841
EGY,"Egypt, Arab Rep.",2004,78782467532.47,991.26,79477443.0,57.82,25.089956315812184,4.0573347365882,Egypt,0,Africa,30.049999,31.25,Arabic,GBR,Emerging and Developing Economies,0.0,2004,6.8989768,18.190985,-0.039579391,-0.018936157
SLV,El Salvador,2004,13724810900.0,2285.69,6004671.0,69.78,23.342471046469317,4.245347435758628,El Salvador,0,America,13.666667,-89.166664,Spanish,ESP,Emerging and Developing Economies,0.0,2004,7.7344232,15.608048,0.034657478,0.035667419
GNQ,Equatorial Guinea,2004,4410764338.67,4901.3,899917.0,,22.207313830813398,,Equatorial Guinea,0,Africa,3.75,8.8000002,Spanish,ESP,Emerging and Developing Economies,0.0,2004,8.4972553,13.710058,0.51429272,0.57387733
ERI,Eritrea,2004,1109054005.44,426.84,2598284.0,65.57,20.82677324155006,4.183118274275528,Eritrea,0,Africa,15.333333,38.883335,English,GBR,Emerging and Developing Economies,0.0,2004,6.0564094,14.770362,0.20148087,0.24248314
EST,Estonia,2004,12148595031.06,8916.07,1362550.0,129.95,23.22047936474299,4.867149761087499,Estonia,0,Europe,59.416668,24.75,Estonian,RUS,Advanced Economies,1.0,2004,9.0956106,14.124868,0.21302319,0.20704651
SWZ,Eswatini,2004,2770082791.5,2581.24,1073159.0,,21.74214304532716,,Eswatini,1,Africa,-26.333334,31.133333,Swati,GBR,Emerging and Developing Economies,0.0,2004,7.8560252,13.886117,0.22547674,0.23151207
ETH,Ethiopia,2004,10131187261.44,133.17,76077206.0,,23.03888435085068,,Ethiopia,1,Africa,9.0500002,38.833332,Amharic,,Emerging and Developing Economies,0.0,2004,4.8916264,18.147259,0.13116312,0.16110611
FJI,Fiji,2004,2708078476.63,3097.19,874366.0,125.12,21.719505171129715,4.829273276797001,Fiji,0,Pacific,-18.133333,178.41667,English,GBR,Emerging and Developing Economies,0.0,2004,8.0382509,13.681254,0.15383244,0.16311646
FIN,Finland,2004,197458297639.77,37768.13,5228172.0,70.97,26.008793247801,4.262257252536892,Finland,0,Europe,60.133335,25.0,Swedish,RUS,Advanced Economies,1.0,2004,10.539221,15.469572,0.13738251,0.14028549
FRA,France,2004,2109792297237.03,33644.93,62707588.0,53.75,28.37761062124283,3.984343667007772,France,0,Europe,48.866665,2.3333333,French,,Advanced Economies,1.0,2004,10.423617,17.953993,0.13216591,0.13949394
PYF,French Polynesia,2004,5564109981.91,21764.22,255654.0,,22.439602877510666,,French Polynesia,0,Pacific,-17.533333,-149.56667,French,FRA,,1.0,2004,9.9880228,12.45158,0.10561085,0.12144852
GAB,Gabon,2004,7770219008.21,5465.79,1421609.0,81.77,22.773564187313557,4.403910428173885,Gabon,0,Africa,0.38333333,9.416667,French,FRA,Emerging and Developing Economies,0.0,2004,8.6062641,14.1673,0.14866161,0.17666626
GMB,"Gambia, The",2004,961900651.42,593.29,1621312.0,49.93,20.68442173034478,3.910622024512518,The Gambia,0,Africa,13.466666,-16.65,English,GBR,Emerging and Developing Economies,0.0,2004,6.3856831,14.298746,0.65324831,0.68056679
GEO,Georgia,2004,5125365191.99,1305.05,3927340.0,79.04,22.357467616405884,4.369954053439613,Georgia,0,Asia,41.716667,44.816666,Georgian,RUS,Emerging and Developing Economies,0.0,2004,7.1739964,15.183473,0.25626087,0.25006485
DEU,Germany,2004,2852317768061.78,34566.74,82516260.0,62.91,28.679153031650426,4.141705133581938,Germany,0,Europe,52.533001,13.417,German,,Advanced Economies,1.0,2004,10.450647,18.228506,0.11826801,0.11805153
GHA,Ghana,2004,8881417906.71,406.13,21868298.0,99.67,22.90722705538298,4.601864728979365,Ghana,0,Africa,5.5500002,-0.25,English,GBR,Emerging and Developing Economies,0.0,2004,6.0066733,16.900549,0.12502384,0.15151596
GRC,Greece,2004,234979615898.22,21449.26,10955141.0,49.83,26.182764606469725,3.908617212293313,Greece,0,Europe,38.0,23.733334,Greek,TUR,Advanced Economies,1.0,2004,9.9734449,16.20932,0.17417336,0.17664719
GRL,Greenland,2004,1822499769.24,32031.0,56898.0,88.15,21.3234748952298,4.47903990884388,Greenland,0,America,64.183334,-51.733334,Greenlandic,DNK,,1.0,2004,10.374459,10.949016,0.15373135,0.15631866
GRD,Grenada,2004,599118592.59,5480.26,109323.0,,20.210970120773904,,Grenada,0,America,12.066667,-61.733334,English,GBR,Emerging and Developing Economies,0.0,2004,8.6089077,11.602062,0.0095891953,0.013612747
GTM,Guatemala,2004,23577298094.66,1840.91,12807402.0,70.21,23.8835501408703,4.2514907510291575,Guatemala,0,America,14.633333,-90.51667,Spanish,ESP,Emerging and Developing Economies,0.0,2004,7.5180154,16.365534,0.066454411,0.088685989
GIN,Guinea,2004,5300767960.52,584.9,9062726.0,34.6,22.391117545219075,3.543853682063679,Guinea,0,Africa,9.5166664,-15.716666,French,FRA,Emerging and Developing Economies,0.0,2004,6.3714409,16.01968,0.031981468,0.05339241
GNB,Guinea-Bissau,2004,582169841.3,431.38,1349563.0,43.19,20.182272786663024,3.7656089869726097,Guinea-Bissau,0,Africa,11.866667,-15.65,Portuguese,PRT,Emerging and Developing Economies,0.0,2004,6.0669894,14.115292,0.027258873,0.050292969
GUY,Guyana,2004,787814379.18,1033.31,762418.0,200.73,20.48477306065743,5.301960721462836,Guyana,0,America,6.7666669,-58.166668,English,GBR,Emerging and Developing Economies,0.0,2004,6.9405227,13.54425,0.059378147,0.058481216
HTI,Haiti,2004,6087360684.3,683.19,8910263.0,33.78,22.529480439557307,3.519868911379654,Haiti,0,America,18.549999,-72.333336,French,,Emerging and Developing Economies,0.0,2004,6.526773,16.002714,0.1654706,0.1824894
HND,Honduras,2004,8869299234.34,1215.14,7298994.0,135.46,22.905861626126622,4.908676393786758,Honduras,0,America,14.083333,-87.23333,Spanish,ESP,Emerging and Developing Economies,0.0,2004,7.1026144,15.803247,0.049824238,0.074762344
HKG,"Hong Kong SAR, China",2004,169099768875.19,24928.1,6783500.0,326.84,25.85375472605634,5.789470754516507,Hong Kong SAR,0,Asia,22.266666,114.15,English,GBR,Advanced Economies,1.0,2004,10.123751,15.730003,0.0388937,0.046691895
HUN,Hungary,2004,104015363080.27,10291.27,10107146.0,123.62,25.367804447103648,4.817212344231128,Hungary,1,Europe,47.5,19.049999,Hungarian,,Emerging and Developing Economies,0.0,2004,9.2390509,16.128754,0.20186329,0.1996479
ISL,Iceland,2004,13825302535.77,47334.93,292074.0,70.43,23.34976626735371,4.254619308757319,Iceland,0,Europe,64.150002,-21.966667,Icelandic,DNK,Advanced Economies,1.0,2004,10.765004,12.584763,0.18153858,0.19031715
IND,India,2004,709152728830.78,624.26,1135991513.0,37.5,27.28733675471005,3.624340932976365,India,0,Asia,28.616667,77.216667,English,GBR,Emerging and Developing Economies,0.0,2004,6.4365668,20.850771,0.1373601,0.15438843
IDN,Indonesia,2004,256836875295.45,1126.84,227926649.0,59.76,26.27170699384065,4.090336540824562,Indonesia,0,Asia,-6.1333332,106.75,Indonesian,NLD,Emerging and Developing Economies,0.0,2004,7.0271726,19.244534,0.077115059,0.089824677
IRN,"Iran, Islamic Rep.",2004,187754571246.7,2672.42,70256316.0,51.31,25.9584014748133,3.937885664953874,Iran,0,Asia,35.666668,51.433334,Persian,,Emerging and Developing Economies,0.0,2004,7.8907394,18.067661,0.19044447,0.21183777
IRQ,Iraq,2004,36633669269.4,1328.37,27577878.0,120.23,24.32423357987513,4.789406574986818,Iraq,0,Asia,33.333332,44.433334,Arabic,TUR,Emerging and Developing Economies,0.0,2004,7.1917081,17.132524,0.48498011,0.5134964
IRL,Ireland,2004,194372115041.06,47754.2,4070262.0,146.59,25.99304027753728,4.98763957430194,Ireland,0,Europe,53.333332,-6.25,English,GBR,Advanced Economies,1.0,2004,10.773822,15.219218,0.14754295,0.1658268
ISR,Israel,2004,140047984605.09,20568.07,6809000.0,74.97,25.66525094801053,4.31708803351497,Israel,0,Asia,32.083332,34.766666,Hebrew,GBR,Advanced Economies,1.0,2004,9.9314947,15.733756,0.045994759,0.063671112
ITA,Italy,2004,1812808753294.75,31348.19,57828179.0,47.27,28.22589855581328,3.855875844805145,Italy,0,Europe,41.883335,12.5,Italian,,Advanced Economies,1.0,2004,10.352912,17.872986,0.1281538,0.13559914
JAM,Jamaica,2004,10174664853.95,3807.56,2672225.0,89.32,23.043166629545865,4.492225426971957,Jamaica,0,America,17.966667,-76.800003,English,GBR,Emerging and Developing Economies,0.0,2004,8.2447443,14.798422,0.070122719,0.07598114
JPN,Japan,2004,4893116005656.56,38298.98,127761000.0,23.66,29.21885043644756,3.1637858585502405,Japan,0,Asia,35.666668,139.75,Japanese,,Advanced Economies,1.0,2004,10.553179,18.665672,0.079077721,0.079414368
JOR,Jordan,2004,11411706629.06,1940.09,5882061.0,134.62,23.15790556273449,4.902455994582567,Jordan,0,Asia,31.950001,35.933334,Arabic,GBR,Emerging and Developing Economies,0.0,2004,7.5704894,15.587418,0.088550568,0.11268044
KAZ,Kazakhstan,2004,43151647002.61,2722.47,15850159.0,96.41,24.4879864229852,4.568609930676289,Kazakhstan,1,Asia,51.169998,71.470001,Kazakh,RUS,Emerging and Developing Economies,0.0,2004,7.9092946,16.57869,0.32960558,0.33611107
KEN,Kenya,2004,16095337093.84,463.66,34713455.0,59.48,23.5017954454878,4.085640121591954,Kenya,0,Africa,-1.2833333,36.833332,English,GBR,Emerging and Developing Economies,0.0,2004,6.1391516,17.362638,0.045807362,0.076864243
KIR,Kiribati,2004,104085892.13,1083.27,96085.0,101.36,18.46072700211496,4.618678536012884,Kiribati,0,Pacific,1.3833333,173.14999,English,GBR,Emerging and Developing Economies,0.0,2004,6.9877396,11.472988,0.059691429,0.079769135
PRK,"Korea, Dem. People's Rep.",2004,1117641279550.969,,24254943.0,,27.74224158009732,,Korea,0,Asia,39.0,125.78333,Korean,JPN,Advanced Economies,1.0,2004,10.738111,17.004131,0.12159348,0.1284008
KOR,"Korea, Rep.",2004,793175561887.03,16496.13,48082519.0,70.02,27.39931042359528,4.24878091552652,Korea,0,Asia,37.5,127.0,Korean,JPN,Advanced Economies,1.0,2004,9.7108812,17.688429,0.11713028,0.12109375
KWT,Kuwait,2004,59439090600.61,27552.28,2157320.0,89.3,24.808217937787497,4.492001487882454,Kuwait,0,Asia,29.333334,48.0,Arabic,GBR,Emerging and Developing Economies,0.0,2004,10.223841,14.584377,0.19413185,0.21636772
KGZ,Kyrgyz Republic,2004,2211534585.0,433.23,5104713.0,93.82,21.516952493857133,4.541378052900312,Kyrgyz Republic,1,Asia,42.900002,74.599998,Kyrgyz,RUS,Emerging and Developing Economies,0.0,2004,6.0712686,15.445675,0.12975597,0.14187813
LAO,Lao PDR,2004,2366398119.86,409.3,5781626.0,66.08,21.584634855405618,4.190866129212723,Lao P.D.R.,1,Asia,17.983334,102.63333,Lao,FRA,Emerging and Developing Economies,0.0,2004,6.0144482,15.570195,0.14204884,0.15662766
LVA,Latvia,2004,13827070378.56,6109.73,2263122.0,97.24,23.34989412927702,4.577182149447922,Latvia,0,Europe,56.950001,24.1,Latvian,RUS,Advanced Economies,1.0,2004,8.717638,14.632256,0.21767616,0.20676231
LBN,Lebanon,2004,21159827992.04,4600.68,4599279.0,90.97,23.775370314982865,4.510529781833971,Lebanon,0,Asia,33.866665,35.5,Arabic,FRA,Emerging and Developing Economies,0.0,2004,8.433959,15.34141,0.036063194,0.05223465
LSO,Lesotho,2004,1511236655.52,766.69,1971129.0,,21.13619412976,,Lesotho,1,Africa,-29.316668,27.483334,English,GBR,Emerging and Developing Economies,0.0,2004,6.6420827,14.494117,0.27343225,0.26638412
LBR,Liberia,2004,897000000.0,284.14,3156892.0,,20.61456642002307,,Liberia,0,Africa,6.3333335,-10.766666,English,FRA,Emerging and Developing Economies,0.0,2004,5.649467,14.965098,0.16974497,0.18165398
LBY,Libya,2004,33122307692.31,5773.76,5736693.0,96.13,24.223472840736346,4.565701442077724,Libya,0,Africa,32.733334,13.116667,Arabic,TUR,Emerging and Developing Economies,0.0,2004,8.6610785,15.562393,0.21128654,0.23194504
LTU,Lithuania,2004,22743164431.2,6734.57,3377075.0,104.07,23.84753047263221,4.645063749649768,Lithuania,0,Europe,54.683334,25.316668,Lithuanian,RUS,Advanced Economies,1.0,2004,8.8150091,15.03252,0.20114803,0.18991852
LUX,Luxembourg,2004,35064843792.9,76544.92,458095.0,265.23,24.280464864138537,5.580597374085823,Luxembourg,1,Europe,49.599998,6.1500001,French,NLD,Advanced Economies,1.0,2004,11.245633,13.034832,0.1529417,0.16715431
MAC,"Macao SAR, China",2004,10643253553.18,23407.2,454700.0,148.9,23.08819205919049,5.003274939689963,Macao SAR,0,Asia,22.27,113.56,Portuguese,PRT,Advanced Economies,1.0,2004,10.060799,13.027393,0.23042488,0.2551403
MDG,Madagascar,2004,5064732626.29,272.2,18606608.0,48.78,22.34556718476209,3.887320392787774,Madagascar,0,Africa,-18.866667,47.5,French,FRA,Emerging and Developing Economies,0.0,2004,5.6065373,16.739027,-0.25885344,-0.22969055
MWI,Malawi,2004,5058726350.49,404.67,12500737.0,,22.34438057917233,,Malawi,1,Africa,-13.966666,33.816666,English,GBR,Emerging and Developing Economies,0.0,2004,6.0030718,16.341299,0.054123402,0.080001831
MYS,Malaysia,2004,124749473684.21,4939.25,25256772.0,210.37,25.54957335260489,5.348867885145938,Malaysia,0,Asia,3.1333334,101.7,Malay,GBR,Emerging and Developing Economies,0.0,2004,8.5049686,17.044605,0.10087299,0.12398911
MDV,Maldives,2004,1226829562.5,4070.26,301413.0,,20.927699087158903,,Maldives,0,Asia,4.1666665,73.466667,Maldivian,GBR,Emerging and Developing Economies,0.0,2004,8.3114624,12.616237,0.13715935,0.15362358
MLI,Mali,2004,7113132069.72,542.89,13102409.0,40.13,22.685208499897836,3.692124184278825,Mali,1,Africa,12.666667,-7.9833331,French,FRA,Emerging and Developing Economies,0.0,2004,6.2969069,16.388308,0.37900829,0.41139221
MLT,Malta,2004,6104141501.08,15212.13,401268.0,155.89,22.532233312357125,5.04915063032459,Malta,0,Europe,35.900002,14.533334,English,GBR,Advanced Economies,1.0,2004,9.6298485,12.902385,0.11246586,0.11918259
MHL,Marshall Islands,2004,132900000.0,2566.08,51791.0,114.02,18.705107523683477,4.736373871603436,Marshall Islands,0,Pacific,7.1500001,171.2,English,,Emerging and Developing Economies,0.0,2004,7.8501348,10.854972,0.01047945,0.013418198
MRT,Mauritania,2004,2362501023.24,823.55,2868664.0,75.22,21.582986650449534,4.32041715304219,Mauritania,0,Africa,18.15,-15.966666,Arabic,FRA,Emerging and Developing Economies,0.0,2004,6.7136245,14.869357,0.11781645,0.14132118
MUS,Mauritius,2004,6667418752.07,5460.61,1221003.0,107.03,22.620498628279904,4.673109168996284,Mauritius,0,Africa,-20.166666,57.5,English,GBR,Emerging and Developing Economies,0.0,2004,8.6053162,14.015183,0.11687851,0.12314987
